Source,Target,Type,Weight
antropo-etica,tierra-patria,Undirected,2
antropo-etica,comprension,Undirected,2
antropo-etica,homo-complexus,Undirected,1
antropo-etica,auto-etica,Undirected,2
antropo-etica,socio-etica,Undirected,2
auto-eco-organizacion,sistema-abierto,Undirected,2
auto-eco-organizacion,maquina-viviente,Undirected,2
auto-eco-organizacion,organizacion,Undirected,1
auto-eco-organizacion,reliance,Undirected,2
auto-eco-organizacion,tierra-patria,Undirected,2
auto-etica,sujeto,Undirected,1
auto-etica,homo-complexus,Undirected,1
auto-etica,comprension,Undirected,1
auto-etica,regeneracion-etica,Undirected,2
bien-pensar,pensamiento-complejo,Undirected,1
bien-pensar,reforma-del-pensamiento,Undirected,2
bien-pensar,conocimiento-del-conocimiento,Undirected,1
bien-pensar,comprension,Undirected,1
bien-pensar,regeneracion-etica,Undirected,1
bucle-tetralogico,orden---desorden,Undirected,2
bucle-tetralogico,organizacion,Undirected,2
bucle-tetralogico,emergencia,Undirected,2
bucle-tetralogico,principio-de-recursividad-organizacional,Undirected,1
bucle-tetralogico,sistema-abierto,Undirected,1
causalidad-circular,principio-de-recursividad-organizacional,Undirected,2
causalidad-circular,sistema-abierto,Undirected,2
bucle-tetralogico,causalidad-circular,Undirected,1
causalidad-circular,organizacion,Undirected,2
causalidad-circular,orden---desorden,Undirected,1
ceguera-del-conocimiento,error-e-ilusion,Undirected,2
ceguera-del-conocimiento,conocimiento-del-conocimiento,Undirected,2
ceguera-del-conocimiento,incertidumbre,Undirected,2
ceguera-del-conocimiento,reforma-del-pensamiento,Undirected,1
ceguera-del-conocimiento,comprension,Undirected,1
cogito-computante,computacion-viviente,Undirected,2
cogito-computante,trinidad-cognitiva-cerebro-mente-cultura,Undirected,2
cogito-computante,conocimiento-del-conocimiento,Undirected,1
cogito-computante,maquina-viviente,Undirected,1
cogito-computante,sujeto,Undirected,1
complejidad,pensamiento-complejo,Undirected,2
complejidad,sistema-abierto,Undirected,1
complejidad,emergencia,Undirected,2
complejidad,orden---desorden,Undirected,2
complejidad,paradigma-de-simplificacion,Undirected,2
comprension,conocimiento-del-conocimiento,Undirected,1
comprension,error-e-ilusion,Undirected,1
comprension,homo-complexus,Undirected,2
comprension,regeneracion-etica,Undirected,2
computacion-viviente,maquina-viviente,Undirected,2
computacion-viviente,sujeto,Undirected,2
computacion-viviente,conocimiento-del-conocimiento,Undirected,1
computacion-viviente,trinidad-cognitiva-cerebro-mente-cultura,Undirected,1
conocimiento-del-conocimiento,error-e-ilusion,Undirected,2
conocimiento-del-conocimiento,incertidumbre,Undirected,2
conocimiento-del-conocimiento,reforma-del-pensamiento,Undirected,2
conocimiento-del-conocimiento,metodo,Undirected,2
ecologia-de-la-accion,incertidumbre,Undirected,2
antropo-etica,ecologia-de-la-accion,Undirected,1
ecologia-de-la-accion,socio-etica,Undirected,2
ecologia-de-la-accion,tierra-patria,Undirected,2
comprension,ecologia-de-la-accion,Undirected,1
emergencia,organizacion,Undirected,2
emergencia,sistema-abierto,Undirected,2
emergencia,principio-hologramatico,Undirected,2
error-e-ilusion,incertidumbre,Undirected,2
error-e-ilusion,reforma-del-pensamiento,Undirected,2
error-e-ilusion,metodo,Undirected,1
homo-complexus,homo-sapiens-demens,Undirected,2
homo-complexus,trinidad-humana-individuo-sociedad-especie,Undirected,2
homo-complexus,sujeto,Undirected,2
homo-complexus,trinidad-cognitiva-cerebro-mente-cultura,Undirected,2
homo-sapiens-demens,trinidad-humana-individuo-sociedad-especie,Undirected,2
homo-sapiens-demens,principio-dialogico,Undirected,2
homo-sapiens-demens,mito-y-pensamiento-simbolico,Undirected,2
comprension,homo-sapiens-demens,Undirected,1
